Date, Open, High, Low, Close,%Change
11/09/17,2584,2586.5,2566.33,2584.62,-0.376
11/08/17,2588.71,2595.47,2585.02,2594.38,0.144
11/07/17,2592.11,2597.02,2584.35,2590.64,-0.019
11/06/17,2587.47,2593.38,2585.66,2591.13,0.127
11/03/17,2581.93,2588.42,2576.77,2587.84,0.310
11/02/17,2579.46,2581.11,2566.17,2579.85,0.019
11/01/17,2583.21,2588.4,2574.92,2579.36,0.159
10/31/17,2575.99,2578.29,2572.15,2575.26,0.094
10/30/17,2577.75,2580.03,2568.25,2572.83,-0.319
10/27/17,2570.26,2582.98,2565.94,2581.07,0.807
10/26/17,2560.08,2567.07,2559.8,2560.4,0.127
10/25/17,2566.52,2567.4,2544,2557.15,-0.466
10/24/17,2568.66,2572.18,2565.58,2569.13,0.162
10/23/17,2578.08,2578.29,2564.33,2564.98,-0.397
10/20/17,2567.56,2575.44,2567.56,2575.21,0.512
10/19/17,2553.39,2562.36,2547.92,2562.1,0.033
10/18/17,2562.87,2564.11,2559.67,2561.26,0.074
10/17/17,2557.17,2559.71,2554.69,2559.36,0.067
10/16/17,2555.57,2559.47,2552.64,2557.64,0.175
10/13/17,2555.66,2557.65,2552.09,2553.17,0.088
10/12/17,2552.88,2555.33,2548.31,2550.93,-0.169
10/11/17,2550.62,2555.24,2547.95,2555.24,0.180
10/10/17,2549.99,2555.23,2544.86,2550.64,0.232
10/09/17,2551.39,2551.82,2541.6,2544.73,-0.180
10/06/17,2547.44,2549.41,2543.79,2549.33,-0.107
10/05/17,2540.86,2552.51,2540.02,2552.07,0.565
10/04/17,2533.48,2540.53,2531.8,2537.74,0.125
10/03/17,2530.34,2535.13,2528.85,2534.58,0.216
10/02/17,2521.2,2529.23,2520.4,2529.12,0.387
09/29/17,2509.96,2519.44,2507.99,2519.36,0.371
09/28/17,2503.41,2510.81,2502.93,2510.06,0.120
09/27/17,2503.3,2511.75,2495.91,2507.04,0.409
09/26/17,2501.04,2503.51,2495.12,2496.84,0.007
09/25/17,2499.39,2502.54,2488.03,2496.66,-0.222
09/22/17,2497.26,2503.47,2496.54,2502.22,0.065
09/21/17,2507.16,2507.16,2499,2500.6,-0.305
09/20/17,2506.84,2508.85,2496.67,2508.24,0.063
09/19/17,2506.29,2507.84,2503.19,2506.65,0.111
09/18/17,2502.51,2508.32,2499.92,2503.87,0.146
09/15/17,2495.67,2500.23,2493.16,2500.23,0.185
09/14/17,2494.56,2498.43,2491.35,2495.62,-0.110
09/13/17,2493.89,2498.37,2492.14,2498.37,0.076
09/12/17,2491.94,2496.77,2490.37,2496.48,0.336
09/11/17,2474.52,2488.95,2474.52,2488.11,1.084
09/08/17,2462.25,2467.11,2459.4,2461.43,-0.149
09/07/17,2468.06,2468.62,2460.29,2465.1,-0.018
09/06/17,2463.83,2469.64,2459.2,2465.54,0.313
09/05/17,2470.35,2471.97,2446.55,2457.85,-0.755
09/01/17,2474.42,2480.38,2473.85,2476.55,0.198
08/31/17,2462.65,2475.01,2462.65,2471.65,0.572
08/30/17,2446.06,2460.31,2443.77,2457.59,0.462
08/29/17,2431.94,2449.19,2428.2,2446.3,0.084
08/28/17,2447.35,2449.12,2439.03,2444.24,0.049
08/25/17,2444.72,2453.96,2442.22,2443.05,0.167
08/24/17,2447.91,2450.39,2436.19,2438.97,-0.207
08/23/17,2444.88,2448.91,2441.42,2444.04,-0.345
08/22/17,2433.75,2454.77,2433.67,2452.51,0.994
08/21/17,2425.5,2430.58,2417.35,2428.37,0.116
08/18/17,2427.64,2440.27,2420.69,2425.55,-0.184
08/17/17,2462.95,2465.02,2430.01,2430.01,-1.544
08/16/17,2468.63,2474.93,2463.86,2468.11,0.142
08/15/17,2468.66,2468.9,2461.61,2464.61,-0.050
08/14/17,2454.96,2468.22,2454.96,2465.84,1.004
08/11/17,2441.04,2448.09,2437.85,2441.32,0.128
08/10/17,2465.38,2465.38,2437.75,2438.21,-1.447
08/09/17,2465.35,2474.41,2462.08,2474.02,-0.036
08/08/17,2478.35,2490.87,2470.32,2474.92,-0.241
08/07/17,2477.14,2480.95,2475.88,2480.91,0.165
08/04/17,2476.88,2480,2472.08,2476.83,0.189
08/03/17,2476.03,2476.03,2468.85,2472.16,-0.218
08/02/17,2480.38,2480.38,2466.48,2477.57,0.049
08/01/17,2477.1,2478.51,2471.14,2476.35,0.245
07/31/17,2475.94,2477.96,2468.53,2470.3,-0.073
07/28/17,2469.12,2473.53,2464.66,2472.1,-0.134
07/27/17,2482.76,2484.04,2459.93,2475.42,-0.097
07/26/17,2479.97,2481.69,2474.94,2477.83,0.028
07/25/17,2477.88,2481.24,2474.91,2477.13,0.292
07/24/17,2472.04,2473.1,2466.32,2469.91,-0.106
07/21/17,2467.4,2472.54,2465.06,2472.54,-0.037
07/20/17,2475.56,2477.62,2468.43,2473.45,-0.015
07/19/17,2463.85,2473.83,2463.85,2473.83,0.537
07/18/17,2455.88,2460.92,2450.34,2460.61,0.060
07/17/17,2459.5,2462.82,2457.16,2459.14,-0.005
07/14/17,2449.16,2463.54,2446.69,2459.27,0.467
07/13/17,2444.99,2449.32,2441.69,2447.83,0.187
07/12/17,2435.75,2445.76,2435.75,2443.25,0.731
07/11/17,2427.35,2429.3,2412.79,2425.53,-0.078
07/10/17,2424.51,2432,2422.27,2427.43,0.093
07/07/17,2413.52,2426.92,2413.52,2425.18,0.640
07/06/17,2423.44,2424.28,2407.7,2409.75,-0.937
07/05/17,2430.78,2434.9,2422.05,2432.54,0.145
07/03/17,2431.39,2439.17,2428.69,2429.01,0.231
06/30/17,2429.2,2432.71,2421.65,2423.41,0.153
06/29/17,2442.38,2442.73,2405.7,2419.7,-0.860
06/28/17,2428.7,2442.97,2428.02,2440.69,0.881
06/27/17,2436.34,2440.15,2419.38,2419.38,-0.807
06/26/17,2443.32,2450.42,2437.03,2439.07,0.032
06/23/17,2434.65,2441.4,2431.11,2438.3,0.156
06/22/17,2437.4,2441.62,2433.27,2434.5,-0.046
06/21/17,2439.31,2442.23,2430.74,2435.61,-0.058
06/20/17,2450.66,2450.66,2436.6,2437.03,-0.670
06/19/17,2442.55,2453.82,2441.79,2453.46,0.835
06/16/17,2431.24,2433.15,2422.88,2433.15,0.028
06/15/17,2424.14,2433.95,2418.53,2432.46,-0.224
06/14/17,2443.75,2443.75,2428.34,2437.92,-0.100
06/13/17,2434.15,2441.49,2431.28,2440.35,0.451
06/12/17,2425.88,2430.38,2419.97,2429.39,-0.098
06/09/17,2436.39,2446.2,2415.7,2431.77,-0.083
06/08/17,2434.27,2439.27,2427.94,2433.79,0.027
06/07/17,2432.03,2435.28,2424.75,2433.14,0.157
06/06/17,2431.92,2436.21,2428.12,2429.33,-0.278
06/05/17,2437.83,2439.55,2434.32,2436.1,-0.122
06/02/17,2431.28,2440.23,2427.71,2439.07,0.371
